STN,YYYYMMDD,TG,TN,TX,Q,RH,UG,EV24
275,20140312,83,24,168,1352,0,72,19
275,20140313,78,-9,177,1367,0,71,19
275,20140314,53,-25,130,1095,0,82,14
275,20140315,92,73,115,772,3,74,11
275,20140316,100,65,124,489,-1,79,7
275,20140317,95,57,119,480,0,78,7
275,20140318,84,63,100,231,52,87,3
275,20140319,110,74,162,1281,1,71,19
275,20140320,134,64,221,1614,0,60,26
275,20140321,73,24,115,478,117,85,6
275,20140322,58,25,96,686,35,84,9
275,20140323,35,-20,82,909,17,90,11
275,20140324,40,-19,100,1275,25,79,16
275,20140325,47,-28,114,1344,0,71,17
275,20140326,40,-32,99,1232,1,76,15
275,20140327,84,25,138,1575,-1,65,22
275,20140328,102,40,172,1682,0,65,25
275,20140329,118,45,193,1654,0,62,25
275,20140330,136,54,204,1395,0,56,22
275,20140331,145,84,201,1277,0,58,21
275,20140401,134,66,202,1509,0,68,24
275,20140402,140,54,218,1473,0,68,24
275,20140403,150,81,230,1577,-1,69,26
275,20140404,127,100,156,401,-1,83,6
275,20140405,112,46,174,1123,-1,82,17
275,20140406,131,62,181,759,11,82,12
275,20140407,162,127,218,1256,41,76,21
275,20140408,81,31,134,1229,44,84,17
275,20140409,92,25,145,1476,0,75,21
275,20140410,112,81,150,755,0,81,11
275,20140411,105,27,155,1053,-1,72,16
275,20140412,84,-5,151,1663,-1,74,23
275,20140413,97,51,145,1618,0,71,23
275,20140414,81,28,115,1505,23,74,21
275,20140415,55,-4,108,1366,-1,73,18
275,20140416,72,-29,149,2254,0,63,30
275,20140417,109,46,177,1722,8,60,26
275,20140418,76,34,131,1530,1,76,21
275,20140419,110,55,171,2077,-1,69,31
275,20140420,155,97,217,2078,0,61,35
275,20140421,117,92,138,592,-1,79,9
275,20140422,129,79,181,1788,0,74,28
275,20140423,137,50,209,1640,0,75,26
275,20140424,145,81,223,1294,38,78,21
275,20140425,168,114,239,2022,24,75,35
275,20140426,141,102,186,1606,0,74,26
275,20140427,114,99,150,722,81,91,11
275,20140428,129,93,169,971,-1,85,15
275,20140429,133,102,162,664,58,93,11
275,20140430,131,108,187,1059,184,91,17
275,20140501,125,100,176,1352,0,86,21
275,20140502,90,56,117,999,0,74,14
275,20140503,83,13,138,2006,0,69,28
275,20140504,68,-10,130,1557,0,72,21
275,20140505,125,43,186,2269,0,57,35
275,20140506,143,108,181,1123,17,73,18
275,20140507,122,98,162,1126,31,80,17
275,20140508,114,103,130,410,137,92,6
275,20140509,118,77,156,1223,50,86,19
275,20140510,108,86,138,475,63,90,7
275,20140511,96,84,112,648,239,89,9
275,20140512,98,72,133,1001,105,93,15
275,20140513,96,38,148,1891,9,78,27
275,20140514,84,22,138,1743,1,77,24
275,20140515,83,1,140,1350,0,75,19
275,20140516,120,18,191,2746,0,65,42
275,20140517,130,48,205,2577,0,75,41
275,20140518,162,73,231,2669,0,63,45
275,20140519,189,113,246,2587,0,61,46
275,20140520,207,147,268,2201,14,60,41
275,20140521,184,128,213,1345,6,74,24
275,20140522,182,137,221,1789,6,67,32
275,20140523,159,130,204,1389,0,75,23
275,20140524,153,91,194,1593,0,67,26
275,20140525,159,92,214,2402,0,63,40
275,20140526,156,131,220,750,137,83,13
275,20140527,153,141,171,621,107,94,10
275,20140528,125,108,146,372,115,97,6
275,20140529,97,57,115,593,5,90,9
275,20140530,116,48,170,2081,0,74,32
275,20140531,132,52,200,2551,0,67,40
275,20140601,124,54,189,2056,0,72,32
275,20140602,148,62,210,2182,0,67,36
275,20140603,158,70,220,1967,0,70,33
275,20140604,149,109,195,1399,188,87,23
275,20140605,122,84,172,1443,52,79,22
275,20140606,167,78,229,2910,0,59,50
275,20140607,215,127,292,2194,0,67,41
275,20140608,206,162,258,2097,0,73,39
275,20140609,214,166,264,1989,142,77,37
275,20140610,208,168,259,2150,53,78,40
275,20140611,175,95,230,2672,5,66,46
275,20140612,163,73,228,2357,0,71,40
275,20140613,165,80,222,2073,0,72,35
275,20140614,153,114,202,1653,0,70,27
275,20140615,148,79,208,2250,0,72,37
275,20140616,137,81,176,1134,2,78,18
275,20140617,155,97,202,1349,-1,77,23
275,20140618,140,52,202,1660,0,80,27
275,20140619,139,121,156,697,11,84,11
275,20140620,137,93,179,1467,7,79,24
275,20140621,149,66,203,1818,0,75,30
275,20140622,138,71,201,1776,0,74,29
275,20140623,144,50,214,2089,0,74,34
275,20140624,153,90,214,1658,-1,74,28
275,20140625,140,67,199,1913,0,69,31
275,20140626,167,103,219,1942,0,65,33
275,20140627,168,123,218,1415,65,76,24
275,20140628,160,132,197,1378,13,81,23
275,20140629,151,108,198,1852,42,78,31
275,20140630,130,62,182,1548,1,79,24
275,20140701,126,39,192,1991,0,73,31
275,20140702,142,47,217,2172,0,70,35
275,20140703,179,78,255,2567,0,65,45
275,20140704,214,101,293,2108,3,61,39
275,20140705,197,178,221,1168,32,83,21
275,20140706,195,141,258,1377,48,82,25
275,20140707,173,121,227,2164,0,75,37
275,20140708,147,125,165,467,189,93,8
275,20140709,157,123,184,276,132,97,5
275,20140710,214,157,281,2187,133,83,41
275,20140711,198,165,244,1581,0,88,29
275,20140712,196,164,246,1896,0,79,34
275,20140713,187,155,224,2052,0,82,37
275,20140714,182,128,240,1928,0,79,34
275,20140715,165,122,212,941,0,88,16
275,20140716,192,115,259,2437,0,76,44
275,20140717,216,136,280,2082,0,71,39
275,20140718,253,173,319,2591,0,60,51
275,20140719,271,182,336,2444,-1,53,50
275,20140720,223,194,276,1478,28,80,28
275,20140721,193,184,215,550,134,96,10
275,20140722,220,182,275,2611,0,75,49
275,20140723,227,181,286,2695,0,62,51
275,20140724,213,165,268,2468,0,63,46
275,20140725,177,162,204,705,2,85,12
275,20140726,191,154,232,1238,32,90,22
275,20140727,207,149,260,1819,23,82,34
275,20140728,185,148,243,954,1316,93,17
275,20140729,215,149,278,2389,0,81,45
275,20140730,184,119,235,1836,0,77,32
275,20140731,179,97,244,2316,0,77,41
275,20140801,199,120,263,2096,0,73,38
275,20140802,210,164,282,1527,275,78,28
275,20140803,199,153,252,2042,0,77,37
275,20140804,185,128,235,2097,0,74,37
275,20140805,170,98,233,1679,0,74,29
275,20140806,177,119,228,1033,22,82,18
275,20140807,178,137,224,1154,24,89,20
275,20140808,191,137,246,1052,73,87,19
275,20140809,190,151,228,1593,27,80,28
275,20140810,183,147,240,1071,179,83,19
275,20140811,164,136,205,1969,1,75,33
275,20140812,154,127,198,1871,4,79,31
275,20140813,160,113,211,2224,0,76,38
275,20140814,153,130,194,1193,117,88,20
275,20140815,145,109,198,1214,13,87,20
275,20140816,148,94,182,1404,14,79,23
275,20140817,142,119,159,502,159,89,8
275,20140818,133,94,171,1286,91,90,20
275,20140819,116,85,166,1353,44,90,21
275,20140820,119,78,176,1561,87,85,24
275,20140821,126,63,174,1302,-1,82,20
275,20140822,127,92,169,1080,51,85,17
275,20140823,117,74,173,1540,5,82,24
275,20140824,113,58,170,1498,0,82,23
275,20140825,125,61,177,874,43,86,14
275,20140826,131,96,164,694,116,93,11
275,20140827,147,62,212,2113,0,74,35
275,20140828,173,117,218,1291,50,83,22
275,20140829,165,129,210,1479,1,84,25
275,20140830,152,119,176,531,128,92,9
275,20140831,140,91,182,1234,37,90,20
275,20140901,142,78,206,1362,0,84,22
275,20140902,151,86,201,1082,0,87,18
275,20140903,160,110,205,1574,0,80,27
275,20140904,179,123,237,1776,0,79,31
275,20140905,179,129,227,911,0,87,16
275,20140906,165,121,215,647,0,91,11
275,20140907,162,109,214,1108,0,85,19
275,20140908,135,80,201,1728,0,79,28
275,20140909,135,78,176,755,-1,83,12
275,20140910,139,100,175,901,0,82,15
275,20140911,151,105,208,1447,0,82,24
275,20140912,154,72,215,1647,0,82,27
275,20140913,166,135,218,1406,0,82,24
275,20140914,156,104,207,991,0,87,17
275,20140915,170,116,213,995,0,86,17
275,20140916,193,154,245,1283,0,82,23
275,20140917,189,144,251,1540,0,79,27
275,20140918,196,143,251,1583,0,78,29
275,20140919,176,133,226,838,0,91,15
275,20140920,170,123,233,816,24,94,14
275,20140921,148,105,187,1079,46,84,18
275,20140922,119,61,168,940,-1,79,14
275,20140923,123,48,177,1072,0,79,17
275,20140924,121,94,154,417,85,87,6
275,20140925,128,72,174,878,0,82,14
275,20140926,144,97,181,410,3,92,7
275,20140927,135,68,207,1473,0,84,24
275,20140928,154,91,213,1173,0,84,20
275,20140929,164,135,196,546,81,92,9
275,20140930,158,112,199,748,2,92,13
275,20141001,156,101,201,792,0,91,13
275,20141002,161,132,203,629,0,91,11
275,20141003,159,105,225,1052,0,85,18
275,20141004,159,116,212,1211,0,78,20
275,20141005,123,115,129,223,3,92,3
275,20141006,141,123,164,344,3,87,6
275,20141007,120,86,159,589,57,87,9
275,20141008,128,78,158,519,274,91,8
275,20141009,147,124,174,700,0,85,11
275,20141010,135,93,174,871,0,86,14
275,20141011,119,73,159,363,150,95,6
275,20141012,121,78,164,752,20,94,12
275,20141013,148,115,188,538,21,87,9
275,20141014,124,102,147,302,7,87,5
275,20141015,130,111,167,601,18,90,9
275,20141016,136,115,170,487,21,94,8
275,20141017,139,110,180,416,4,94,7
275,20141018,165,118,222,825,0,86,14
275,20141019,169,146,220,669,21,86,11
275,20141020,139,120,169,572,2,87,9
275,20141021,106,72,127,162,161,90,2
275,20141022,90,59,119,568,37,84,8
275,20141023,113,76,142,403,1,89,6
275,20141024,112,103,121,274,44,89,4
275,20141025,119,84,147,239,-1,94,4
275,20141026,122,82,154,545,0,88,8
275,20141027,122,92,167,702,0,88,11
275,20141028,91,67,133,756,0,89,11
275,20141029,99,81,111,94,12,97,1
275,20141030,123,105,142,206,-1,98,3
275,20141031,134,106,166,425,0,91,7
275,20141101,139,111,185,695,0,84,11
275,20141102,148,125,175,666,34,82,11
275,20141103,123,96,150,256,126,86,4
275,20141104,88,61,107,265,10,95,4
275,20141105,66,27,105,310,0,97,4
275,20141106,53,16,83,260,-1,95,3
275,20141107,71,36,99,204,-1,86,3
275,20141108,97,78,129,582,0,82,8
275,20141109,93,69,133,482,-1,85,7
275,20141110,93,59,124,520,30,87,7
275,20141111,91,55,119,358,1,91,5
275,20141112,91,51,116,213,2,93,3
275,20141113,80,27,132,534,0,94,7
275,20141114,101,71,124,360,23,88,5
275,20141115,96,84,110,154,17,95,2
275,20141116,82,77,88,75,117,98,1
275,20141117,92,76,123,465,1,91,7
275,20141118,74,67,82,86,1,96,1
275,20141119,72,66,79,103,1,95,1
275,20141120,68,39,77,105,0,90,1
275,20141121,48,15,88,465,0,87,6
275,20141122,75,32,122,384,-1,88,5
275,20141123,106,78,138,404,5,88,6
275,20141124,58,-1,106,452,12,93,6
275,20141125,40,-16,85,373,0,92,5
275,20141126,44,23,58,239,-1,88,3
275,20141127,67,55,83,171,25,90,2
275,20141128,51,16,78,303,0,88,4
275,20141129,20,5,31,229,0,92,3
275,20141130,18,13,27,59,-1,98,1
275,20141201,8,1,13,74,0,93,1
275,20141202,2,-4,13,121,0,86,1
275,20141203,-20,-35,3,62,0,89,1
275,20141204,-6,-29,10,69,0,92,1
275,20141205,30,8,47,120,1,95,1
275,20141206,35,-20,80,282,-1,96,3
275,20141207,27,-17,56,77,44,95,1
275,20141208,18,-6,41,228,2,95,3
275,20141209,12,-23,42,149,4,97,2
275,20141210,52,34,88,273,81,87,3
275,20141211,51,33,62,138,65,88,2
275,20141212,68,24,88,43,220,95,1
275,20141213,38,19,53,123,2,92,1
275,20141214,24,7,36,345,0,92,4
275,20141215,49,27,65,116,81,95,1
275,20141216,45,5,71,245,12,96,3
275,20141217,70,30,99,45,46,97,1
275,20141218,111,95,124,51,30,96,1
275,20141219,83,46,115,132,203,88,2
275,20141220,60,20,81,106,5,81,1
275,20141221,67,33,95,94,1,88,1
275,20141222,103,87,119,37,32,90,1
275,20141223,106,88,121,122,6,81,2
275,20141224,69,28,92,71,55,87,1
275,20141225,32,-16,63,174,11,90,2
275,20141226,13,-33,44,320,-1,93,4
275,20141227,2,-32,27,52,146,88,1
275,20141228,-31,-62,12,482,-1,83,5
275,20141229,11,-10,38,307,33,93,3
275,20141230,22,10,32,117,3,93,1
275,20141231,28,-2,67,255,1,95,3
275,20150101,23,-3,38,245,0,81,3
275,20150102,57,26,85,302,42,79,4
275,20150103,26,4,40,63,10,92,1
275,20150104,12,-18,66,392,0,90,4
275,20150105,15,-10,32,143,0,94,2
275,20150106,24,2,40,271,22,84,3
275,20150107,32,1,71,356,-1,91,4
275,20150108,56,30,75,42,194,96,1
275,20150109,88,48,128,71,71,86,1
275,20150110,90,31,128,64,66,78,1
275,20150111,50,25,67,168,20,77,2
275,20150112,76,58,92,66,36,86,1
275,20150113,81,54,105,70,164,90,1
275,20150114,37,18,54,166,42,85,2
275,20150115,77,44,100,31,71,83,0
275,20150116,49,16,78,333,2,81,4
275,20150117,17,-25,54,490,-1,85,6
275,20150118,15,3,23,61,104,94,1
275,20150119,4,0,12,154,28,96,2
275,20150120,-1,-20,30,254,0,92,3
275,20150121,-7,-28,15,291,0,81,3
275,20150122,-16,-30,-1,87,0,87,1
275,20150123,-23,-44,-11,135,0,91,1
275,20150124,-4,-55,54,333,71,94,3
275,20150125,10,-59,32,177,14,98,2
275,20150126,42,21,74,103,24,95,1
275,20150127,31,-1,62,245,10,94,3
275,20150128,40,19,61,64,101,89,1
275,20150129,11,2,35,161,153,93,2
275,20150130,5,-15,24,346,71,96,4
275,20150131,5,-19,32,500,5,96,5
275,20150201,13,-14,50,263,8,96,3
275,20150202,8,-12,43,314,25,95,3
275,20150203,9,-31,51,461,0,91,5
275,20150204,-12,-54,44,544,1,90,5
275,20150205,-12,-45,14,448,1,86,5
275,20150206,-10,-30,22,770,0,77,8
275,20150207,2,-67,43,304,3,93,3
275,20150208,41,20,59,315,-1,77,4
275,20150209,52,28,67,262,13,94,3
275,20150210,52,43,70,249,14,94,3
275,20150211,29,-23,46,161,0,87,2
275,20150212,4,-31,40,273,0,94,3
275,20150213,36,-14,87,805,0,81,10
275,20150214,64,34,110,644,-1,77,9
275,20150215,18,-23,54,807,0,85,9
275,20150216,13,-44,77,840,0,86,9
275,20150217,22,-39,76,248,2,95,3
275,20150218,4,-40,46,802,0,95,9
275,20150219,30,4,67,618,0,84,7
275,20150220,48,30,59,126,166,93,2
275,20150221,22,-11,56,313,117,96,4
275,20150222,16,-18,40,552,25,90,6
275,20150223,47,15,94,549,36,84,7
275,20150224,46,25,84,526,14,84,7
275,20150225,40,-4,90,700,20,91,9
275,20150226,59,32,89,358,69,95,5
275,20150227,37,-23,81,932,4,82,11
275,20150228,41,-23,89,928,-1,73,11
275,20150301,76,46,115,952,99,76,13
275,20150302,42,8,87,786,26,77,10
275,20150303,27,-2,67,347,44,89,4
275,20150304,34,5,71,479,33,86,6
275,20150305,35,-13,93,750,0,84,9
275,20150306,54,29,84,397,0,80,5
275,20150307,81,31,139,1000,0,63,14
275,20150308,94,43,167,1320,0,64,19
275,20150309,81,58,109,400,1,89,6
275,20150310,68,-24,119,1190,4,82,16
275,20150311,13,-48,94,1311,0,83,15
275,20150312,57,-36,124,1464,0,71,19
275,20150313,42,-4,83,1445,0,70,18
275,20150314,29,-3,48,408,2,86,5
275,20150315,51,40,69,320,1,84,4
275,20150316,63,14,131,1188,0,77,16
275,20150317,84,-3,175,1415,0,71,20
275,20150318,60,-12,144,1254,0,87,16
275,20150319,58,-18,113,755,0,88,10
275,20150320,21,-27,84,653,0,93,7
275,20150321,57,34,93,741,53,90,10
275,20150322,33,-22,78,1512,0,74,18
275,20150323,32,-37,104,1535,0,79,18
275,20150324,45,-40,111,1338,1,75,17
275,20150325,51,43,65,273,93,95,3
275,20150326,47,11,71,680,49,89,9
275,20150327,50,-16,89,754,21,86,10
275,20150328,66,-16,108,585,66,91,8
275,20150329,89,67,111,267,189,88,4
275,20150330,66,43,91,1146,50,68,15
275,20150331,81,47,108,796,101,70,11
275,20150401,54,26,87,1118,46,77,14
275,20150402,51,34,86,1322,48,79,17
275,20150403,63,24,102,1385,0,70,18
275,20150404,49,-6,95,1061,9,71,13
275,20150405,39,-48,116,1374,0,70,17
275,20150406,54,-6,119,759,-1,83,10
275,20150407,67,-21,133,1314,0,78,18
275,20150408,90,46,145,1240,0,80,18
275,20150409,106,42,183,1839,0,72,27
275,20150410,116,20,205,1913,0,65,29
275,20150411,90,14,142,660,37,78,9
275,20150412,101,21,152,1943,-1,65,29
275,20150413,75,24,130,1752,-1,69,24
275,20150414,115,32,199,2006,0,68,31
275,20150415,136,48,229,2153,0,68,34
275,20150416,91,43,143,1735,0,65,25
275,20150417,82,36,133,1591,0,66,22
275,20150418,87,27,150,2117,0,64,30
275,20150419,67,-23,151,2214,0,68,30
275,20150420,112,25,185,2323,0,61,35
275,20150421,95,-6,194,2364,0,68,34
275,20150422,77,-3,156,2170,0,77,30
275,20150423,83,1,169,2045,0,75,29
275,20150424,120,8,206,2054,0,66,32
275,20150425,114,66,152,734,44,87,11
275,20150426,110,78,148,825,45,89,12
275,20150427,78,-11,132,1903,0,63,26
275,20150428,47,-41,124,1644,2,67,21
275,20150429,88,6,142,1393,24,62,20
275,20150430,86,12,139,1589,31,73,22
275,20150501,75,-10,142,2040,0,69,28
275,20150502,95,-9,160,2414,0,58,35
275,20150503,127,61,170,946,28,79,15
275,20150504,152,109,201,1221,62,73,20
275,20150505,155,96,227,1462,97,73,24
275,20150506,116,93,159,1424,56,70,22
275,20150507,109,68,162,1567,89,80,23
275,20150508,139,68,190,1621,-1,64,26
275,20150509,134,81,163,1061,9,74,17
275,20150510,126,42,188,2452,0,67,38
275,20150511,179,103,258,2331,0,62,41
275,20150512,140,73,190,1670,0,69,27
275,20150513,114,41,183,1836,0,71,28
275,20150514,107,41,162,2397,0,67,36
275,20150515,92,27,160,2602,0,71,37
275,20150516,88,25,144,691,13,83,10
275,20150517,107,33,169,2098,0,65,31
275,20150518,111,51,159,1036,25,77,16
275,20150519,95,63,132,1631,96,80,24
275,20150520,98,51,150,2215,9,75,32
275,20150521,114,13,179,2113,0,68,32
275,20150522,145,78,198,1780,0,66,29
275,20150523,120,43,161,1134,13,79,17
275,20150524,130,36,200,2848,5,64,45
275,20150525,121,79,162,1492,11,73,23
275,20150526,107,67,143,1436,12,71,21
275,20150527,124,34,188,1587,0,66,25
275,20150528,121,41,167,1305,44,75,20
275,20150529,109,44,167,1363,33,76,20
275,20150530,102,47,157,2022,5,71,30
275,20150531,126,71,178,777,128,84,12
275,20150601,124,70,167,1927,0,68,30
275,20150602,148,113,186,503,15,76,8
275,20150603,138,61,187,1382,-1,71,22
275,20150604,155,44,218,2917,0,61,49
275,20150605,225,135,318,2655,91,63,50
275,20150606,153,60,200,2903,0,65,48
275,20150607,132,51,202,2765,0,65,44
275,20150608,116,40,179,2289,0,68,35
275,20150609,113,54,163,1714,0,70,26
275,20150610,157,84,219,2930,0,61,49
275,20150611,178,94,248,2953,0,53,52
275,20150612,213,120,281,2896,-1,55,54
275,20150613,181,148,227,1775,10,73,31
275,20150614,152,116,201,1028,0,82,17
275,20150615,134,72,191,2856,0,61,45
275,20150616,106,25,166,1491,0,72,22
275,20150617,157,40,231,2183,82,70,37
275,20150618,146,106,175,1882,7,74,31
275,20150619,123,99,164,1265,50,83,20
275,20150620,123,88,156,1156,7,79,18
275,20150621,141,108,193,1112,120,85,18
275,20150622,120,75,146,994,90,90,15
275,20150623,112,70,134,668,53,92,10
275,20150624,146,103,209,1848,0,75,30
275,20150625,178,102,242,2722,0,68,48
275,20150626,201,134,248,1836,33,66,33
275,20150627,174,94,225,2131,-1,73,37
275,20150628,168,73,222,1489,3,74,26
275,20150629,183,113,246,2176,0,71,38
275,20150630,204,92,271,2928,0,60,54
275,20150701,260,164,339,2927,0,48,59
275,20150702,261,185,362,2576,259,62,52
275,20150703,243,177,303,2574,0,76,50
275,20150704,262,187,337,2293,0,64,46
275,20150705,208,147,281,1910,3,74,35
275,20150706,184,131,238,2599,0,70,46
275,20150707,207,143,276,1562,-1,63,29
275,20150708,153,121,189,1082,86,84,18
275,20150709,128,56,179,2022,4,74,32
275,20150710,159,46,226,2783,0,63,47
275,20150711,208,140,288,2595,0,53,48
275,20150712,169,139,190,835,15,82,14
275,20150713,167,154,187,495,52,93,8
275,20150714,179,129,219,1180,28,86,21
275,20150715,174,115,218,973,14,92,17
275,20150716,198,140,252,2676,-1,70,49
275,20150717,221,172,267,2526,96,73,48
275,20150718,181,145,225,2109,10,74,37
275,20150719,155,114,197,1071,51,85,18
275,20150720,174,84,216,1509,18,87,26
275,20150721,206,157,251,2379,2,73,44
275,20150722,188,144,237,2149,0,70,38
275,20150723,175,121,224,2105,0,66,37
275,20150724,186,141,246,1430,72,71,25
275,20150725,142,92,187,577,231,91,9
275,20150726,143,77,210,1891,23,80,31
275,20150727,158,133,192,805,211,87,14
275,20150728,150,122,193,1329,50,81,22
275,20150729,133,97,181,1742,66,81,28
275,20150730,124,62,178,1604,19,81,25
275,20150731,127,40,192,2139,0,71,34
275,20150801,158,87,225,2372,0,64,40
275,20150802,178,66,245,2410,0,62,42
275,20150803,236,162,319,2475,0,56,48
275,20150804,170,109,207,750,66,85,13
275,20150805,189,100,256,2353,0,61,42
275,20150806,218,148,299,2371,0,68,45
275,20150807,209,128,284,2197,-1,76,41
275,20150808,188,134,239,1897,0,72,34
275,20150809,182,120,241,1673,-1,73,29
275,20150810,193,147,250,1374,-1,75,25
275,20150811,195,131,254,1692,0,81,31
275,20150812,196,159,240,1506,0,81,27
275,20150813,220,143,284,2191,0,74,41
275,20150814,211,162,262,1681,7,83,31
275,20150815,185,155,232,1130,140,89,20
275,20150816,145,128,159,326,224,97,5
275,20150817,140,129,149,259,261,97,4
275,20150818,142,116,176,653,39,91,11
275,20150819,166,121,214,1879,4,76,32
275,20150820,185,107,250,2155,0,68,38
275,20150821,202,124,258,1897,0,68,35
275,20150822,210,153,269,1987,0,57,37
275,20150823,200,149,260,2048,100,59,37
275,20150824,184,153,233,1290,51,81,23
275,20150825,160,137,198,1107,78,83,19
275,20150826,203,160,254,1387,14,79,25
275,20150827,155,135,189,416,74,90,7
275,20150828,153,106,206,1473,0,84,24
275,20150829,173,84,240,2043,0,74,35
275,20150830,202,142,263,1539,47,86,28
275,20150831,213,163,282,1528,238,87,28
275,20150901,150,96,186,833,26,88,14
275,20150902,130,90,186,1332,-1,84,21
275,20150903,116,62,169,1132,49,87,17
275,20150904,129,98,176,830,164,91,13
275,20150905,125,95,172,1132,70,87,18
275,20150906,121,70,166,1147,9,82,18
275,20150907,142,119,181,1126,17,87,18
275,20150908,135,83,165,776,-1,88,12
275,20150909,129,76,184,1549,0,83,24
275,20150910,137,85,196,1729,0,75,28
275,20150911,139,86,198,1722,0,77,28
275,20150912,158,115,212,897,105,83,15
275,20150913,165,132,192,982,2,86,17
275,20150914,143,108,191,763,95,90,12
275,20150915,126,93,186,974,3,76,15
275,20150916,150,112,178,439,82,91,7
275,20150917,143,114,162,371,78,90,6
275,20150918,133,93,187,1181,17,89,19
275,20150919,132,96,178,884,-1,88,14
275,20150920,126,71,173,539,0,87,8
275,20150921,135,91,177,1169,22,81,19
275,20150922,125,101,163,651,14,92,10
275,20150923,126,91,179,880,21,91,14
275,20150924,123,100,157,425,16,93,7
275,20150925,115,48,163,709,1,91,11
275,20150926,105,22,178,1366,0,82,20
275,20150927,113,72,177,1025,0,86,16
275,20150928,118,74,166,831,0,83,13
275,20150929,113,66,173,1379,0,78,21
275,20150930,118,68,177,1422,0,76,22
275,20151001,108,61,171,1398,0,78,21
275,20151002,108,40,183,1415,0,76,21
275,20151003,114,62,175,916,0,84,14
275,20151004,112,40,178,988,0,89,15
275,20151005,134,81,175,896,3,86,14
275,20151006,150,127,178,425,67,95,7
275,20151007,145,129,171,533,19,92,9
275,20151008,128,86,151,484,12,91,8
275,20151009,111,42,172,1083,0,86,16
275,20151010,101,52,143,745,0,82,11
275,20151011,60,21,110,1106,0,71,14
275,20151012,42,3,95,877,0,79,11
275,20151013,28,-4,49,380,0,87,4
275,20151014,38,22,52,208,83,96,3
275,20151015,59,24,74,139,73,98,2
275,20151016,69,63,77,186,63,96,2
275,20151017,75,67,90,244,0,95,3
275,20151018,65,21,86,197,3,98,3
275,20151019,93,47,117,175,1,98,3
275,20151020,78,29,120,345,-1,96,5
275,20151021,91,41,121,450,16,94,6
275,20151022,112,91,141,203,21,94,3
275,20151023,108,69,139,555,0,83,8
275,20151024,110,99,130,319,-1,86,5
275,20151025,99,55,138,757,2,85,11
275,20151026,108,80,153,751,0,86,11
275,20151027,112,69,167,806,0,88,12
275,20151028,101,65,129,422,1,91,6
275,20151029,110,78,152,506,0,91,8
275,20151030,100,57,148,642,0,90,9
275,20151031,96,63,138,756,0,86,11
275,20151101,79,29,166,707,0,92,10
275,20151102,72,17,149,703,0,93,10
